,text_stemmed
224,new post order for zone 
225,whi it is take time to connect fbg 
226,train run late as alway congratul 
227,where is my 06550 
228,kindli share your pnr number for better assist 
229,no linen in no 12721 pleas provid servic 
230,the matter is be look into 
231,grievanc forward to concern depart for n a 
232,matter forward to concern depart for na 
233,alway delay for common passeng 
234,sorri it is vand bharat 
235,have you taken action against thi 
236,i dont care i am wait for bullet 
237,time pe chalo lo bhai log 
238,pleas do the need my contact number 9535816222 
239,joke of the day sigganna ledhu itla cheppukodsniki 
240,we are 65km away from vadodara 
241,agartala humsafar kia local hey 
242,these kind of ticket still exist 
243,whi doubl decker wa convert 
244,yeah forgot to bramaravathi 
245,where is my 06550 
246,veri poor perform 
247,exampl no 2 
248,whi is not fill basic need of passang 
249,dont tri to be too smart 
250,fight for act apprentic 
251,kg ha hyperloop they dont need ani vb 
252,hope buffalo will not come on track 
253,wait for your prompt respons 
254,when doe the book commenc in irctc 
255,they should be caught and punish immedi 
256,what about special 7 8 hour run late 
257,modi come to inaugur everyth 
258,matter forward to for obh attent 
259,ye daili hota h us bridg pe 
260,whi run late no 12810 
261,no 22159 vendor sell openli water bottl rs20 
262,may be taken whi whi may be 
263,what happen to the exist shatabdi express 
264,whi it s empti thi time 
265,pleas chang time tabl of 14732 train 
266,rrb ntpc result declar 
267,no support resolut provid by indian railway 
268,bjp govern hatao rojgar bachao 
269,no mean delay tain number 03255 without reason 
270,cen 01 2018 technician standbay clearkar 
271,b1 no 22195 mobil charger socket not work 
272,ab or train late kar sakeng 
273,no it wa from start station henc empti 
274,sad to know that 
275,ani propos train from secunderabad 
276,kya hua matter forwarr 
277,that look slow 
278,matter will be check 
279,when can we expect the to run 
280,matter report to ipf jnh for n a 
281,no 12752 delay 1 hr 40 min 
282,thi is pf7 sbc 
283,onli bjp can bring develop to poorvanch 
284,no repli on these issu 
285,not clean 2ac a1 
286,it is as clean as metro 
287,uthkrisht i shudder to even think of it 
288,hope cattl are shift from nearbi 
289,whi no 01140 is run late 
290,pleas declar ntpc level5 result 
291,thank god no utkrisht liveri for vb 
292,where is my buffalo 
293,simhapuri will never go on time 
294,onlin me no counter pe ye 
295,ut on mobil app 
296,no 09452 more than 5 hr late 
297,madam pleas declar ntpc result plz 
298,high time we put these hoard everywher 
299,19045 st to shg is not clear 
300,shame on you 
301,where is my app not work 
302,look for servic not for refund 
303,whi it soo late 
304,excess charg is happen at manmad station of 
305,but when vijapur will get servic 
306,where r u 
307,rrb le like 
308,we want result not your properti 
309,declar ntpc level 5 result asap 
310,save rrbntpc student life 
311,save rrbntpc student life 
312,jaldi result do 
313,pleas provid your contact no for further assist 
314,differ zone should have differ colour scheme 
315,pleas reles all result hurri up 
316,liber turd 
317,wait clear karo 
318,bjp hatavo rail bachavo 
319,save rrbntpc student life 
320,eveteas in 12335 s6 42 urgent polic call 
321,declear all level result fast 
322,stop play with aspir s life amp emot 
323,pleas share your mobil no 
324,dirti coach pathet cleanli thi is loot 
325,what action taken by administr 
326,pleas declar level5 result of cen01 2019 
327,rrb ntpc result declar karo 
328,okay kannada but whi hate against hindi 
329,no respons ka new india 
330,what is thi behavior 
331,ani help 
332,what action administr taken 
333,it should have halt at sindhudurga station 
334,pleas clear hundr percent rrb je wait 
335,start barkur halt for matsyagandha express 
336,rrb gorakhpur technician wait clear karo 
337,kbb doge ntpc job 
338,kbb doge ntpc job 
339,await action 
340,cen 01 2018 technician standbay clearkar 
341,cen 01 2018 technician wait 
342,save poor student 
343,all act appreci candid 2019 notif fill 
344,rrbntpc type result clear kre 
345,new vacanc group d 
346,save ntpc student 
347,stop play with aspir life amp emot 
348,pleas jldi se jldi result publish kre 
349,plzz declar ntpc level 5 3amd 2 result 
350,cen 01 2018 technician wait candid onli 3500 
351,30 ntpc exam time tabl 
352,ani updat is thi ppl arrest 
353,declar all level result of ntpc 
354,mission mode elect ka tha 
355,pleas declar level5 result of cen01 2019 
356,whi not in kannad tamil and hindi 
357,dear pleas declar ntpc level 5 result asap 
358,where is the mission mode 
359,monitor system failur 
360,all tech wate clear kro 
361,rrb ntpc l5 result declar kro 
362,veri sad 
363,we want our result plss declar our result 
364,we want our result plss declar our result 
365,pleas updat atleast bsp arriv time 
366,pleas help us regard rrb ntpc recruit 
367,tag you have not tag them 
368,pleas share your contact no 
369,hamari technician ki wait clear ho 
370,pleas make a short video pleas save us 
371,declar type result all zone 
372,pleas visit s2 of same 
373,cen 01 2018 technician standbay clearkar 
374,is it mission mode mantri ji 
375,whi ruin the life of thousand 
376,declar other zone type statu 
377,ntpc result declar 
378,are rrb ntpc result 
379,pleas declar level5 result of cen01 2019 
380,pleas share your pnr no 
381,give all rrb type statu 
382,same here in 16352 just cross solapur 
383,pleas give us rrb ntpc result 
384,veri bed servic 05527i train 
385,on time that a joke 
386,4 year complet but not one vacanc complet 
387,wait clear krane ki liy technician student 
388,almost everyday train are run late 
389,plss declar our result 
390,railway ntpc vacanc fast 30 
391,we want our result plss declar our result 
392,100 wate clear kro 
393,30 ntpc vacanc fast result 
394,30 twt fast 
395,rrb ntpc exam result 30 
396,with no result 
397,clear all satandbi 
398,give ntpc type result 
399,we want our result plss declar our result 
400,railway ntpc result 30 
401,we want our result plss declar our result 
402,we want our result plss declar our result 
403,thanda bottel liy they ya normal 
404,kbb doge ntpc job 
405,rrb ntpc result declar all level 
406,at least dont make us see such photo 
407,guwahati station sam condit 
408,twitter campaign 
409,is there anyon who listen our voic 
410,rrb gorakhpur technician wait clear karo 
411,it s illeg total take more than 15r 
412,shame on the 
413,kbb doge ntpc job 
414,worst experi to travel in indian 
415,it s your fault 
416,minist resign do 
417,ntpc result do all lavel 
418,penal thi shop 
419,not play with student life 
420,4 year pass ab kitna late kroge 
421,declar rrb ntpc 2019 result 
422,ani repli 
423,thi is the condit pleas help asap 
424,my phone no 7355191049 
425,destroy it 
426,matter forward to offici concern 
427,the matter doe not pertain to vadodara 
428,pleas dont do thi 
429,ab kya student mar jayeng tb doge job 
430,share your contact no 
431,most of these dud project from and 
432,go and check washroom 
433,no action taken we reach delhi 
434,provid some compens atleast 
435,pleas updat reason for delay 
436,pnr 8258975662 dirti coach no water in washroom 
437,can not blame railway for thi 
438,save rrbntpc student life result declar 
439,atvm machin not work 
440,atvm machin not work patna junction station 
441,20801 s2 m neat and clean toilet 
442,sir no 14207 run late 
443,kindli share your pnr number for better assist 
444,tax payer like and me 
445,situat in sleeper coach no one bother 
446,public stunt 
447,pleas so we are travel in hell 
448,when wash pit ara bihar station start 
449,there wa no north western in 1895 
450,when wash pit ara bihar station start 
451,hahaha tri gener compart uncl 
452,tambaram tbm station toilet water nill pleas arrang 
453,thi is a big fault of railway 
454,pnr 2731583150 no 22481 bed roll not provid 
455,doe unsatisfi custom matter at all 
456,and subscrib to vommspott for quicker action 
457,no bro 
458,still sleep 
459,you are useless improv 
460,big big failur of railway 
461,bedsheet are in open condit no pillow 
462,group d ka result dol do 
463,most uncomfort coach wors than sleeper 
464,not arriv but updat as arriv befor time 
465,ticketless travel be ask to deboard 
466,pleas updat me where is no 12203 
467,exllent job 
468,refund still not process 
469,kindli share your pnr ut no with 
470,public stunt 
471,public stunt 
472,our number 94440 31994 vijay 
473,kindli share phone number amp pnr number 
474,kindli share phone number amp pnr number 
475,problem is not resolv till time 21 48 
476,ye never trust indian 
477,my so late no 11447 5 hr late 
478,the is a cheater is a fraud 
479,stoppga at tohana station is also requir 
480,veri bed servi bag is tain 
481,not start yet 
482,still is not start from saharsha 
483,can thi be clear 
484,problem solv 
485,your complaint ha been forward to and 
486,i guess ha forgot to tag 
487,my pnr no is 2625225035 
488,order to regret not 
489,matter fwd to 
490,how dare thi man 
491,just close thi busi of land jihad 
492,shame on 
493,toilet not clean coach be2 12479 
494,loot at kurla terminu stall 
495,that depart from umb at 19 30 hr 
496,what s go on bhagalpur railway station 
497,whi is no 12328 is so late 
498,bro he is a cricket not a tc 
499,bro doe it have ani gener compart 
500,way thi alway late 
501,way alway late 
502,respect still not receiv ani respons for side 
503,you are also travel via same 
504,action not initi still 
505,do not tri board deboard a move 
506,apprentic ke bare main aab kuch nehi 
507,your complain is note 
508,ani updat bro 
509,pleas hamari wait clear karn ki koshish kare 
510,pleas declar level5 result of cen01 2019 
511,sir may i know ani updat pleas 
512,life is in not use pleas resolv it 
513,it s been one week still no resolut 
514,pleas look into thi complaint 
515,ac economi is a stupid idea veri uncomfort 
516,jai hind 
517,whi to spend in inaugur of train 
518,you have implement hurriedli without proper due dilig 
519,thi decis must be revok 
520,staff promot msme busi 
521,mani problem can be solv with thi in 
522,fake indian standard mobil 
523,what is thi is thi a joke 
524,can i get ani respons on thi 
525,sorri my bad 
526,it s 4 hr late horribl and pathet 
527,jay ho 
528,20 max ticket rs 
529,no 15657 brahmputra mail alway late whi whi 
530,water amp clean done at agra cantt station 
531,no 03435 have a ani gener bogi 
532,dont expect anyth good from indian railway 
533,all total disgust becaus stand here befor 2hr 
534,let s see will listen or not 
535,yess need to take strict action against them 
536,kindli fill water in no 04488 b5 coach 
537,thank you for make indian railway wors 
538,some issu with coach replac 
539,see video of safeti and mainten by 
540,no ani action regard thi issu 
541,pleas share your contact no 
542,veri poor servic by indian railway 
543,till when the new station will be oper 
544,again late 
545,pleas share your pnr no for better assist 
546,that ha to be correct 
547,desur junction 
548,pleas restart manglor miraj mahalaxmi earli 
549,we also get late 
550,similar stuff need in vizag too 
551,peopl are also respons for dirti of train 
552,03255 is run late without ani reason 
553,how to take out petrol from it 
554,who paid for it 
555,inconveni deepli regrat matter notifi to concern offici 
556,pleas give stoppag at dalkhola 
557,rrb ntpc level 5 result de do 
558,rrb ntpc level 5 result de do 
559,jai hind 
560,contact no 9415321774 and counter number 02 
561,number 08438 ctc bhc run late 
562,pleas share your pnr no 
563,is rac ticket passeng elig for bedsheet 
564,whi is karwar to vasco so expens 
565,compulsori jail time for such offend 
566,doe rac passeng are entitl for bed sheet 
567,is a suprem wast never on time ever 
568,whi number 14682 late from their arriv time 
569,didn get ani resolut yet 
570,ani vacanc on bullet poject 
571,sorri for inconveni 
572,station coad apt pleas check to bad flatfrom 
573,no rule and regul pleas take strict act 
574,pleas help nobodi pick up by dial 139 
575,reason whi i hate travel 
576,number 15065 coach number b5 
577,number 15065 coach number b5 
578,will thi escal be ever function at 
579,noth ha been chang 
580,ani reason for be so late 19601 
581,got thi email which is not accept 
582,my no is 8961306737 
583,i think they are still not wake up 
584,my no is 8961306737 
585,pleas share your contact no for better assist 
586,when the memori hit you it hurt defi 
587,poor manag by 
588,urin stink too 
589,swatantra vartha newspap 
590,whi no action even after high court order 
591,mobil number 85113 04609 
592,kindli share your pnr ut no with 
593,what about senior citizen consat 
594,you peopl are shameless still late increas onli 
595,wa problem resolv after that quickli 
596,so that cooli can continu to fleec you 
597,rail madad helplin number 139 
598,contact no 9716456745 coach no s9 
599,train just left mathura 
600,where wa modi 
601,pleas do someth regard toilet 
602,that s whi irctc stock go up 
603,12152 late 9 hour think bullet 
604,kindli check the coach no s6 
605,the did not even move an inch 
606,whi thi 14218 unchahar express run so late 
607,thi is veri pain 
608,14041 unnecessari stay on najibabaad station 
609,kindli look no 12141 is too late 
610,contact no 7457990264 email id thephenom7457 com 
611,which offic can attend my complaint number 2022110600277 
612,when will thi chori stop in india 
613,tough situat platform no 2 3 toilet 
614,no improv increas late should asham 
615,rail min need to serious ponder about it 
616,sorri for inconveni water done at agra cantt 
617,her phone wasn work 
618,your complaint ha been resolv by accm 
619,chennai mail hwh to ma 
620,chennai mail 12839 in sleeper coach 
621,pleas do need stand outer of ghaziabad station 
622,worst servic indian same on you 
623,now 70 min over but no movement 
624,if you get ani lead contact 91 7457990264 
625,still no respons 
626,check thi thread with exact problem 
627,matter notifi to on duti tte for assist 
628,but d is not move 
629,concern staff instruct for necessari action inconveni regret 
630,same there 12472 no 1 attend 
631,ankur had ur matter resolv 
632,technician ka wet clear kro do 
633,no one ha approach the femal pessang 
634,no one ha approach the femal pessang 
635,railway annex senior women s t20 titl via 
636,how to get one at new tinsukia station 
637,matter notifi to on duti tte for assist 
638,use ut app 
639,she wa sleep or what 
640,shame you 
641,call for licens cancel 
642,pretti strang time of 11301 
643,hi is there ani further progress made 
644,kindli share your pnr ut no with 
645,again 8 hr late 
646,nerd compend 
647,whi late 19490 everi day 
648,do ani of you have a littl account 
649,nuisanc element everi where 
650,lot of cockroach in 12963 mewar express 
651,my phone no is 9840988373 
652,veri veri bad upon the part of 
653,blanket not distribut 
654,if ani passang had connect they miss sam 
655,firoj pur janta ex kyar pachi suru thase 
656,no word for late latifi 
657,current situat of pune station platform no 6 
658,there is no clean staff in coach a1 
659,no repli 
660,no 16332 coach a1 veri bad servic 
661,is retir room avail in shalimar station 
662,iska licenc cancel karo 
663,rain water stagnat clear 
664,fake h 
665,rrb gorakhpur the most corrupt board in india 
666,what a servic disgust 
667,b4 coach are have cockroach 
668,gm power in apprentic 
669,delay by 5hr 30min 
670,pleas tag for your queri 
671,whi 02575 is stop everywher 
672,again 6 hr late 
673,madam where have you been transfer 
674,indor to khandwa holkar state railway 
675,tag for your action amp refer 
676,land jihad 
677,is it start in no 12989 
678,kindli share your pnr number and mobil no 
679,noth ha been chang 
680,no control on compart on 
681,check the run statu of 
682,no action till now 
683,washroom is too unhygien 22164 mahamana express 
684,there is no linen in no 20931 
685,whi 02575 is run late 
686,mere transact ka screen shot attach hai 
687,doubl engin govt ha halt 
688,still wait for your prompt respons 
689,is man by ticket check staff 
690,no repli 
691,thi vacanc is depart or open market 
692,no action taken yet 
693,matter is close 
694,neither tc nor rpf sinc start came 
695,noth to say 
696,tri ut they have via option 
697,they are busi in increas their bank account 
698,cheat with peopl 
699,too bad condit pnr no 2725258802 
700,now it s 3 hour late 
701,no 12166 yet not start 
702,number 12920 
703,pleas help not resolv my problem 
704,clean my coach no 01677 pnr no 6610779209 
705,clean ha been attend 
706,late time is not worth it no 08048 
707,group d cut off pleas 
708,attend by onduti ac mechan 
709,kai ays video banana allow hai me 
710,pnr 4856957125 kindli provid refund 
711,goe paperless 
712,manger northern railway 
713,not treat passeng respect 
714,can we buy these coach from railway 
715,no not yet 
716,not yet still wait no one to assist 
717,no updat about no 14314 even time over 
718,but now also western still treat saurashtra unfairli 
719,concern offici ha been advis to look into 
720,alreadi left pl look into matter 
721,sir no help us 
722,onli one solut popul control 
723,as per is delay due to sick coach 
724,relway result prosess fast chaiy 
725,memorandum to gm eastern 
726,we have to take anoth from howrah 
727,not respond my problem my helth verri week 
728,the enquiri show noth 
729,last station late reach formula 
730,thi is ridicul fals inform spread by 
731,when i get refund 
732,cancel of train 
733,urin in not free 
734,which wa thi 
735,my complaint close without provid ani solut 
736,need urgent help for thi transact 
737,ye i am face same error 
738,matter notifi to concern offici for redress 
739,worst qualiti of blanket 
740,is earn ad revenu from these sticker 12017 
741,then whi not for 16511 doubl standard bugger 
742,ac not work in no 15050 pnr 2729753241 
743,still wait for fresh pillow cover 
744,ntpc recruit 2019 
745,test is to be done insid toilet washroom 
746,there s no system to punish poor qualiti 
747,not provid berth pleas help me 
748,no more wait declar the result 
749,would expect respons from the ministri 
750,my contact number is 8334052588 
751,ntpc type result declar all zone 
752,make a case on consum court 
753,kaani lohna station k video share kru pleas 
754,whi we have to wait for four year 
755,where is 12965 12966 
756,worst experi ever 
757,is bed avail in 3rd ac 
758,not ani nessari action 
759,need action 
760,that s wrong do someth 
761,rais didn get resolut refer no is 2022110501490 
762,delcar level 5 result befor 15th novemb 
763,indian what the hell 
764,no wa 12192 and pnr no 8358962466 
765,no 19670 
766,then what s the mean of time tabl 
767,6306089447 s3 toilet water leakag 
768,thnx again for quick respons 
769,pleas see below my tweet also 
770,no 19670 use bed sheet deliv 
771,no 19670 
772,no 19670 
773,pleas share your pnr contact no 
774,my pnr no 6410759712 schedul not updat 
775,declar rrb ntpc result now 
776,onli photo 
777,bathinda fazilka not run pleas 
778,demand for gajol itahar raiganj dalkhola line 
779,demand for gajol itahar raiganj dalkhola line 
780,demand for gajol itahar raiganj dalkhola line 
781,demand for gajol itahar raiganj dalkhola line 
782,demand for gajol itahar raiganj dalkhola line 
783,demand for gajol itahar raiganj dalkhola line 
784,demand for gajol itahar raiganj dalkhola line 
785,demand for gajol itahar raiganj dalkhola line 
786,demand for gajol itahar raiganj dalkhola line 
787,demand for gajol itahar raiganj dalkhola line 
788,demand for gajol itahar raiganj dalkhola line 
789,demand for gajol itahar raiganj dalkhola line 
790,demand for gajol itahar raiganj dalkhola line 
791,demand for gajol itahar raiganj dalkhola line 
792,demand for gajol itahar raiganj dalkhola line 
793,demand for gajol itahar raiganj dalkhola line 
794,demand for gajol itahar raiganj dalkhola line 
795,demand for gajol itahar raiganj dalkhola line 
796,demand for gajol itahar raiganj dalkhola line 
797,demand for gajol itahar raiganj dalkhola line 
798,demand for gajol itahar raiganj dalkhola line 
799,demand for gajol itahar raiganj dalkhola line 
800,demand for gajol itahar raiganj dalkhola line 
801,demand for gajol itahar raiganj dalkhola line 
802,demand for gajol itahar raiganj dalkhola line 
803,demand for gajol itahar raiganj dalkhola line 
804,demand for gajol itahar raiganj dalkhola line 
805,demand for gajol itahar raiganj dalkhola line 
806,demand for gajol itahar raiganj dalkhola line 
807,demand for gajol itahar raiganj dalkhola line 
808,demand for gajol itahar raiganj dalkhola line 
809,demand for gajol itahar raiganj dalkhola line 
810,demand for gajol itahar raiganj dalkhola line 
811,demand for gajol itahar raiganj dalkhola line 
812,demand for gajol itahar raiganj dalkhola line 
813,demand for gajol itahar raiganj dalkhola line 
814,demand for gajol itahar raiganj dalkhola line 
815,demand for gajol itahar raiganj dalkhola line 
816,demand for gajol itahar raiganj dalkhola line 
817,demand for gajol itahar raiganj dalkhola line 
818,demand for gajol itahar raiganj dalkhola line 
819,demand for gajol itahar raiganj dalkhola line 
820,demand for gajol itahar raiganj dalkhola line 
821,demand for gajol itahar raiganj dalkhola line 
822,demand for gajol itahar raiganj dalkhola line 
823,demand for gajol itahar raiganj dalkhola line 
824,demand for gajol itahar raiganj dalkhola line 
825,demand for gajol itahar raiganj dalkhola line 
826,demand for gajol itahar raiganj dalkhola line 
827,demand for gajol itahar raiganj dalkhola line 
828,demand for gajol itahar raiganj dalkhola line 
829,escal at ranchi station seldom work when need 
830,trainno13201 amp carriercertificateimport remark grpscoutnotavailablebetweenbhusavalbsltochalisgoancsncctvcameranotavailableintrain 
831,one wash shed for rourkela station 
832,bedrol facil current not provid in thi 
833,nte site seem to be down 
834,unhappi with indian railway 
835,when will i sleep 
836,partner what happen 
837,the same complaint wa regist in railmadad 
838,we need anoth footov bridg asap 
839,the condit of is veri bad 
840,is it go to be resolv by anych 
841,phone number 6393910010 
842,ha the problem sort 
843,see condit of humsafar express 12235 pnr 6834525040 
844,mist corrupt govern organ 
845,averag delay of last three month can explain 
846,northern railway 
847,my pnr is 2831509725 also ac not work 
848,14738 2 nov 2022 peopl drink 
849,too cold pleas reduc the cool 
850,imagin bullet like thi 
851,today no sleep for our 10 hdiot 
852,no water no 12413 
853,still no revert from solut is requir 
854,pleas give modif link for ew certif upload 
855,16351 cockroach everywher of 2nd ac 
856,noth happen till now after complaint 
857,onli one trip 
858,no repli 
859,still issu not resolv 
860,shame in the financi capit 
861,whi thi is late run 18239 
862,no updat till now 
863,whi everyon is silent 
864,charg plug is not work 
865,sir ha been initi against the irrespons agenc 
866,without attend close the complaint 
867,what about satara karad line 
868,without attend close the complaint 
869,would samta express12808 provid linen and bedsheet 
870,whi 15048 d purvanch express is run late 
871,still no respons from 
872,pleas ask to direct to clear on prioriti 
873,save ccaa apprentic life 
874,no 12719 insid the cockroach 
875,still there is no action taken yet 
876,save ccaa apprentic life 
877,still no ani updat for the same 
878,what is the statu of ref no 2022110405233 
879,no result till yet act urgent 
880,kindli share your contact number for better assist 
881,thi is nangloi station of new delhi 
882,no 12159 depart from wardha 
883,same on indian 13 hr delay 
884,drm nagpur not replay ani tweet pleas look 
885,switch to paperless work mode 
886,bihar dont give ani revenu to indian 
887,when i shall get refund 
888,number 18238 whi so late 
889,plzzz take cogniz 
890,pleas provid your contact no for better solut 
891,it is purna not parbhani station 
892,congrat munger 
893,dushsagar fall goa 
894,whi is delay 
895,bad condit seat in number 02569 bogu b8 
896,kindli share your pnr number for better assist 
897,sorri for inconveni 
898,whi no 19489 run too late 
899,sare mil ke khao railway jay bhad me 
900,indian hai ki bull cart serious omg 
901,my bad 7000 and not 17000 station 
902,sir still the same statu no light 
903,baggag scanner not work at sarai rohilla station 
904,all the station should have cold storag 
905,pleas clear hundr percent rrb je wait 
906,should reddevelop atleast 1000 station everi year 
907,not possibl 
908,what a develop in no 14005 
909,the 139 peopl said they can not help 
910,book unreserv ticket through ut app paperless ticket 
911,no curtain in 18233 ac 2 tier 
912,is bed given for rac seat 
913,cockroach in seat area pleas get it solv 
914,licens should be cancel 
915,what about pune miraj doubl progress 
916,should be announc befor 
917,pleas clear hundr percent rrb je wait 
918,pleas clear hundr percent rrb je wait 
919,await respons from concern offici 
920,sorri for inconveni 
921,pahl to time per chalao 
922,is ut servic down 
923,need junction redevelop 
924,the same complaint wa regist in railmadad 
925,let s make india corrupt free 
926,let s make india corrupt free 
927,let s make india corrupt free 
928,what happen 18183 danapur express dillay 
929,again is run late by 8 hour 
930,work without safeti gear 
931,again run lateee 
932,send you tube link 
933,pl give full detail amp station name also 
934,confirm it thi is fraud by irctc 
935,what about daund manmad doubl 
